"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL4089730";"";"None";"419.53";"0";"3.87";"BMS-202";"COc1nc(OCc2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O";"IC50";"'='";"61.07";"nM";"7.21";"";"";"UO_0000065";"17.20";"0.32";"3.34";"9.95";"1";"CHEMBL4735264";"Inhibition of PD1/PDL1 (unknown origin) protein-protein interaction measured after 15 mins by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL4732116";"1";"Scientific Literature";"Eur J Med Chem";"2021";"None";"TIME = 0.25 hr";"INHIBITOR";"";"61.07"
"CHEMBL5408624";"";"None";"546.62";"1";"2.74";"B29";"COc1ccc(CNCc2cn([C@H]3OC[C@@H](O)[C@H](O)[C@@H]3O)nn2)cc1OCc1cccc(-c2ccccc2)c1C";"IC50";"'='";"503.1";"nM";"6.30";"";"";"UO_0000065";"11.52";"0.22";"3.56";"4.80";"0";"CHEMBL5343296";"Inhibition of PD-1/PD-L1 (unknown origin) interaction incubated for 15 mins by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5338801";"1";"Scientific Literature";"J Med Chem";"2023";"None";"TIME = 0.25 hr";"INHIBITOR";"";"503.1"
"CHEMBL5398822";"";"None";"590.68";"2";"2.76";"B31";"COc1ccc(CNCc2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H](OC)[C@H]3O)nn2)cc1OCc1cccc(-c2ccccc2)c1C";"IC50";"'='";"384.2";"nM";"6.42";"";"";"UO_0000065";"10.86";"0.20";"3.66";"4.57";"0";"CHEMBL5343296";"Inhibition of PD-1/PD-L1 (unknown origin) interaction incubated for 15 mins by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5338801";"1";"Scientific Literature";"J Med Chem";"2023";"None";"TIME = 0.25 hr";"INHIBITOR";"";"384.2"
"CHEMBL5406764";"";"None";"461.59";"0";"5.00";"LP25";"Cc1c(OCc2nnc(SCc3cccc(CNCCO)c3)o2)cccc1-c1ccccc1";"IC50";"'~'";"100.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5367632";"Inhibition of PD-1/PD-L1 (unknown origin) protein-protein interaction by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5365462";"1";"Scientific Literature";"J Med Chem";"2023";"None";"";"INHIBITOR";"";"100.0"
"CHEMBL5417412";"";"None";"525.62";"2";"6.26";"A9";"COc1c(NCc2ccc(OCc3ccc(F)cc3)c(CNCCO)c2)cccc1-c1ccc2cc[nH]c2c1";"IC50";"'>'";"32000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5364014";"Inhibition of PD-1/PD-L1 interaction (unknown origin) incubated for 1 hr by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5360625";"1";"Scientific Literature";"J Med Chem";"2023";"None";"TIME = 1.0 hr";"";"";"32.0"
"CHEMBL5424701";"";"None";"528.62";"2";"5.89";"A22";"COc1c(COc2ccc(CNCCNC(C)=O)c(OCc3cccc(F)c3)c2)cccc1-c1ccccc1";"IC50";"'='";"11300.0";"nM";"4.95";"";"";"UO_0000065";"9.36";"0.17";"-0.94";"7.19";"0";"CHEMBL5364014";"Inhibition of PD-1/PD-L1 interaction (unknown origin) incubated for 1 hr by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5360625";"1";"Scientific Literature";"J Med Chem";"2023";"None";"TIME = 1.0 hr";"INHIBITOR";"";"11.3"
"CHEMBL5420426";"";"None";"495.58";"0";"4.87";"A38";"COc1c(COc2ccc(CNCCO)c(OCc3cncc(C#N)c3)c2)cccc1-c1ccccc1";"IC50";"'='";"800.0";"nM";"6.10";"";"";"UO_0000065";"12.30";"0.23";"1.23";"6.31";"0";"CHEMBL5364014";"Inhibition of PD-1/PD-L1 interaction (unknown origin) incubated for 1 hr by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5360625";"1";"Scientific Literature";"J Med Chem";"2023";"None";"TIME = 1.0 hr";"INHIBITOR";"";"0.8"
"CHEMBL5398715";"";"None";"517.99";"2";"5.65";"A56";"N#Cc1cncc(COc2cc(OCc3cccc(-c4ccccc4F)c3Cl)ccc2CNCCO)c1";"IC50";"'='";"24000.0";"nM";"4.62";"";"";"UO_0000065";"8.92";"0.17";"-1.03";"5.29";"0";"CHEMBL5364014";"Inhibition of PD-1/PD-L1 interaction (unknown origin) incubated for 1 hr by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5360625";"1";"Scientific Literature";"J Med Chem";"2023";"None";"TIME = 1.0 hr";"INHIBITOR";"";"24.0"
"CHEMBL5082398";"";"None";"634.96";"2";"7.42";"L31";"OC1CCN(Cc2cc(Cl)c(OCc3cccc(-c4ccccc4)c3Br)cc2OCc2ccc3nonc3c2)CC1";"IC50";"'='";"1054.5";"nM";"5.98";"";"";"UO_0000065";"9.41";"0.20";"-1.44";"7.39";"0";"CHEMBL5032958";"Inhibition of human PD-1/PD-L1 interaction assessed as blockade activity incubated for 15 mins by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5032502";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 0.25 hr";"INHIBITOR";"";"1054.5"
"CHEMBL5175290";"";"None";"605.09";"2";"7.63";"24";"N#Cc1cccc(COc2cc(Oc3ncnc4c(-c5ccccc5)cccc34)c(Cl)cc2CN2CCCC[C@@H]2C(=O)O)c1";"IC50";"'>'";"500.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5155932";"Inhibition of Tag2-PD-1/Tag1-PD-L1 (unknown origin) protein-protein interaction incubated for 15 mins by HTRF assay";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4523993";"Programmed cell death protein 1/Programmed cell death 1 ligand 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL5154658";"1";"Scientific Literature";"Eur J Med Chem";"2022";"None";"TIME = 0.25 hr";"";"";"500.0"
